人気	人気 にんき popularity; popular feeling; business conditions
中心	中心 ちゅうしん center; centre; middle; heart; core; focus; pivot; emphasis; balance; -centered; -centred; -focussed; -oriented; centered on; focussed on
方法	方法 ほうほう method; process; manner; way; means; technique
全国	全国 ぜんこく countrywide; nationwide; whole country; national
関連	関連 かんれん relation; connection; relevance
情報	情報 じょうほう information; news; intelligence; advices; information; data contained in characters, signals, code, etc.
海外	海外 かいがい foreign; abroad; overseas
記事	記事 きじ article; news story; report; account
機能	機能 きのう function; facility; faculty; feature
現在	現在 げんざい now; current; present; present time; as of
部分	部分 ぶぶん portion; section; part
可能	可能 かのう potential; possible; practicable; feasible
内容	内容 ないよう subject; contents; matter; substance; detail; import
使用	使用 しよう use; application; employment; utilization; utilisation
基本	基本 きほん foundation; basis; standard
価格	価格 かかく price; value; cost
商品	商品 しょうひん commodity; article of commerce; goods; stock; merchandise
無料	無料 むりょう free; no charge
地域	地域 ちいき area; region
個人	個人 こじん individual; private person; personal; private
定期	定期 ていき fixed period; fixed term; regular; periodic; periodical; fixed-term commutation pass; fixed-term deposit; futures contracts
管理	管理 かんり control; management (e.g. of a business)
確認	確認 かくにん confirmation; verification; validation; review; check; affirmation; identification
一般	一般 いっぱん general; universal; ordinary; average; common
期間	期間 きかん period; term; interval
健康	健康 けんこう health; sound; wholesome
代金	代金 だいきん price; payment; cost; charge; the money; the bill
位置	位置 いち place; situation; position; location
販売	販売 はんばい sales; selling; marketing
注文	注文 ちゅうもん order; request
交換	交換 こうかん exchange; interchange; switching; reciprocity; barter; substitution; replacement; clearing (of checks, cheques)
投票	投票 とうひょう voting; poll
希望	希望 きぼう hope; wish; aspiration
重要	重要 じゅうよう important; momentous; essential; principal; major
作品	作品 さくひん work (e.g. book, film, composition, etc.); opus; performance; production
需要	需要 じゅよう demand; request
自然	自然 しぜん nature; natural; spontaneous; naturally; spontaneously
結果	結果 けっか result; consequence; outcome; effect; coming to fruition; bearing fruit
保証	保証 ほしょう guarantee; security; assurance; pledge; warranty
条件	条件 じょうけん condition; conditions; term; terms; requirement; requirements
非常	非常 ひじょう emergency; extraordinary; unusual
代表	代表 だいひょう representative; representation; delegation; type; example; model
完全	完全 かんぜん perfection; completeness
活動	活動 かつどう action; activity; (military etc.) operation; movie (esp. during the silent movie period)
完成	完成 かんせい complete; completion; perfection; accomplishment
最高	最高 さいこう highest; supreme; the most
助手	助手 じょしゅ helper; helpmeet; assistant; tutor
文字	文字 もじ letter (of alphabet); character; literal
直接	直接 ちょくせつ direct; immediate; personal; firsthand
不可	不可 ふか wrong; bad; improper; unjustifiable; inadvisable; not allowed; not possible; failing grade
地方	地方 ちほう district; region; area; locality; the country; countryside; the provinces; rural area
中古	中古 ちゅうこ used; second-hand; old; Middle Ages
女子	女子 じょし woman; girl
営業	営業 えいぎょう business; trade; sales; operations
参考	参考 さんこう reference; consultation
日本	日本 にほん Japan
選択	選択 せんたく selection; choice; option
案内	案内 あんない information; guidance; leading; to guide; to show (around); to conduct
参加	参加 さんか participation
主要	主要 しゅよう chief; main; principal; major
身体	身体 からだ body; torso; trunk; build; physique; constitution; health; corpse; dead body
多少	多少 たしょう more or less; somewhat; a little; a few; some; amount; quantity
成功	成功 せいこう success; hit
対象	対象 たいしょう target; object (of worship, study, etc.); subject (of taxation, etc.)
変更	変更 へんこう change; modification; alteration; revision; amendment
環境	環境 かんきょう environment; circumstance
輸入	輸入 ゆにゅう importation; import; introduction; afferent
開始	開始 かいし start; commencement; beginning; initiation
企業	企業 きぎょう enterprise; undertaking; corporation; business
電子	電子 でんし electron; (esp. as a prefix) electronic; electronics
製品	製品 せいひん manufactured goods; finished goods; product
会員	会員 かいいん member; the membership
要求	要求 ようきゅう demand; firm request; requisition; requirement; desire
人生	人生 じんせい (human) life (i.e. conception to death)
作業	作業 さぎょう work; operation; manufacturing; fatigue duty
少女	少女 しょうじょ little girl; maiden; young lady; female usually between 7 and 18 years old; female between 17 and 20 years old (ritsuryo period)
存在	存在 そんざい existence; being
家具	家具 かぐ furniture
国家	国家 こっか state; country; nation
自動	自動 じどう automatic; self-motion; intransitive verb
食品	食品 しょくひん food; food products; foodstuffs
中央	中央 ちゅうおう centre; center; middle; heart; metropolis; capital city; central government
感じ	感じ かんじ feeling; sense; impression
状況	状況 じょうきょう state of affairs (around you); situation; circumstances
記念	記念 きねん commemoration; celebration; honoring the memory of something; turning something into a memento; memory
政府	政府 せいふ government; administration
分析	分析 ぶんせき analysis
天然	天然 てんねん nature; spontaneity; natural airhead
市場	市場 いちば (town) market; (the) marketplace
通信	通信 つうしん correspondence; communication; transmission; news; signal; telecommunications
状態	状態 じょうたい current status; condition; situation; circumstances; state
誕生	誕生 たんじょう birth; creation; formation
能力	能力 のうりょく ability; faculty
程度	程度 ていど degree; amount; grade; standard; of the order of (following a number); about; approximately
地区	地区 ちく district; section; sector
相談	相談 そうだん consultation; discussion
なお	なお なお furthermore; still; yet; more; still more; in addition; greater; further
注目	注目 ちゅうもく notice; attention; observation
目的	目的 もくてき purpose; goal; aim; objective; intention
考え	考え かんがえ thinking; thought; view; opinion; concept; idea; notion; imagination; intention; plan; design; consideration; judgement; deliberation; reflection; wish; hope; expectation