北海道	北海道 ほっかいどう Hokkaido (island, prefectural-level administrative unit)
青森県	青森県 あおもりけん Aomori prefecture (Tohoku area)
岩手県	岩手県 いわてけん Iwate prefecture (Tohoku area)
宮城県	宮城県 みやぎけん Miyagi prefecture (Tohoku area)
秋田県	秋田県 あきたけん Akita prefecture (Tohoku area)
山形県	山形県 やまがたけん Yamagata prefecture (Tohoku area)
福島県	福島県 ふくしまけん Fukushima prefecture (Tohoku area)
茨城県	茨城県 いばらきけん Ibaraki prefecture (Kanto area)
栃木県	栃木県 とちぎけん Tochigi prefecture (Kanto area)
群馬県	群馬県 ぐんまけん Gunma prefecture (Kanto area)
埼玉県	埼玉県 さいたまけん Saitama prefecture (Kanto area)
千葉県	千葉県 ちばけん Chiba prefecture (Kanto area)
東京都	東京都 とうきょうと Tokyo Metropolis; Tokyo metropolitan area
神奈川県	神奈川県 かながわけん Kanagawa prefecture (Kanto area)
新潟県	新潟県 にいがたけん Niigata Prefecture (Hokuriku area)
富山県	富山県 とやまけん Toyama prefecture (Hokuriku area)
石川県	石川県 いしかわけん Ishikawa prefecture (Hokuriku area)
福井県	福井県 ふくいけん Fukui prefecture (Hokuriku area)
山梨県	山梨県 やまなしけん Yamanashi prefecture (Chuubu area)
長野県	長野県 ながのけん Nagano prefecture (Chuubu area)
岐阜県	岐阜県 ぎふけん Gifu prefecture (Chuubu area)
静岡県	静岡県 しずおかけん Shizuoka prefecture (Chuubu area)
愛知県	愛知県 あいちけん Aichi prefecture (Chuubu area)
三重県	三重県 みえけん Mie Prefecture (Kinki area)
滋賀県	滋賀県 しがけん Shiga prefecture (Kinki area)
京都府	京都府 きょうとふ Kyoto Prefecture
大阪府	大阪府 おおさかふ Osaka prefecture
兵庫県	兵庫県 ひょうごけん Hyogo prefecture (Kinki area) (Hyougo)
奈良県	奈良県 ならけん Nara prefecture (Kinki area)
和歌山県	和歌山県 わかやまけん Wakayama prefecture (Kinki area)
鳥取県	鳥取県 とっとりけん Tottori prefecture (Chuugoku area)
島根県	島根県 しまねけん Shimane prefecture (Chuugoku area)
岡山県	岡山県 おかやまけん Okayama prefecture (Chuugoku area)
広島県	広島県 ひろしまけん Hiroshima prefecture (Chuugoku area)
山口県	山口県 やまぐちけん Yamaguchi prefecture (Chuugoku area)
徳島県	徳島県 とくしまけん Tokushima prefecture (Shikoku)
香川県	香川県 かがわけん Kagawa prefecture (Shikoku)
愛媛県	愛媛県 えひめけん Ehime prefecture (Shikoku)
高知県	高知県 こうちけん Kouchi (Kochi) prefecture (Shikoku)
福岡県	福岡県 ふくおかけん Fukuoka prefecture (Kyushu)
佐賀県	佐賀県 さがけん Saga prefecture (Kyushu)
長崎県	長崎県 ながさきけん Nagasaki prefecture (Kyushu)
熊本県	熊本県 くまもとけん Kumamoto prefecture (Kyushu)
大分県	大分県 おおいたけん Oita Prefecture (Kyushu)
宮崎県	宮崎県 みやざきけん Miyazaki prefecture (Kyushu)
鹿児島県	鹿児島県 かごしまけん Kagoshima prefecture (Kyushu)
沖縄県	沖縄県 おきなわけん Okinawa prefecture