青海	あおみ	Aomi
有明	ありあけ	Ariake
牡丹	ぼたん	Botan
永代	えいたい	Eitai
枝川	えだがわ	Edagawa
越中島	えっちゅうじま	Echujima
深川	ふかがわ	Fukagawa
福住	ふくずみ	Fukuzumi
古石場	ふるいしば	Furuishiba
冬木	ふゆき	Fuyuki
平野	ひらの	Hirano
石島	いしじま	Ishijima
木場	きば	Kiba
清澄	きよすみ	Kiyosumi
三好	みよし	Miyoshi
毛利	もうり	Mori
森下	もりした	Morishita
門前仲町	もんぜんなかちょう	Monzennakachō
扇橋	おうぎばし	Ogibashi
佐賀	さが	Saga
猿江	さるえ	Sarue
千石	せんごく	Sengoku
塩浜	しおはま	Shiohama
潮見	しおみ	Shiomi
東雲	しののめ	Shinonome
白河	しらかわ	Shirakawa
新大橋	しんおおはし	Shin-Ōhashi
住吉	すみよし	Sumiyoshi
千田	せんだ	Senda
高橋	たかばし	Takabashi
辰巳	たつみ	Tatsumi
東陽	とうよう	Tōyō
常盤	ときわ	Tokiwa
富岡	とみおか	Tomioka
豊洲	とよす	Toyosu
海辺	うみべ	Umibe
海の森	うみのもり	Uminomori
東砂	ひがしすな	Higashisuna
亀戸	かめいど	Kameido
北砂	きたすな	Kitasuna
南砂	みなみすな	Minamisuna
大島	おおじま	Ōjima
新砂	しんすな	Shinsuna
新木場	しんきば	Shin-Kiba
若洲	わかす	Wakasu
夢の島	ゆめのしま	Yumenoshima