へや	部屋	room
まくら	枕	pillow
まくらかばー	枕カバー	pillow case
まっとれす	マットレス	mattress
しんぐるべっど	シングルベッド	single bed
だぶるべっど	ダブルベッド	double bed
にだんベッド	二段ベッド	bunk bed
そふぁべっど	ソファベッド	sofa bed
ふとん	布団	futon
ねぶくろ	寝袋	sleeping bag
もうふ	毛布	blanket
しーつ	シーツ	sheets
かけぶとん	掛け布団	duvet
しきぶとん	敷布団	matress padd
べっどかばー	ベッドカバー	bed cover
ないとてーぶる	ナイトテーブル	nightstand
めざましとけい	目覚まし時計	alarm clock
ぱじゃま	パジャマ	pajamas
ねまき	寝間着	sleepwear (general)
でんきすたんど	電気スタンド	reading light
りらっくす	リラックス	relax
いびき	いびき	snoring
ねる	寝る	to sleep (general)
ねむる	眠る	to sleep (while asleep)
よこになる	横になる	to lie down
おきる	起きる	to wake up
じゅくすい	熟睡	deep sleep
ねつけない	寝付けない	insomnia
ねぼうする	寝坊する	to oversleep
ねむい	眠い	sleepy
ぐっすり	ぐっすり	sleeping soudly (adverb)
すのこ	簀の子	slatted wood base
さいみんやく	催眠薬	sleeping medicine
ねむりにおちる	眠りに落ちる	to fall asleep